MAV> dump GPS
2026-03-06 03:29:47.999 GPS {TimeUS : 25199083, I : 0, Status : 6, GMS : 444606000, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:48.180 GPS {TimeUS : 25379844, I : 0, Status : 6, GMS : 444606200, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:48.400 GPS {TimeUS : 25599756, I : 0, Status : 6, GMS : 444606400, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:48.600 GPS {TimeUS : 25799676, I : 0, Status : 6, GMS : 444606600, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:48.800 GPS {TimeUS : 25999596, I : 0, Status : 6, GMS : 444606800, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:49.000 GPS {TimeUS : 26199516, I : 0, Status : 6, GMS : 444607000, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:49.200 GPS {TimeUS : 26399436, I : 0, Status : 6, GMS : 444607200, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:49.400 GPS {TimeUS : 26599356, I : 0, Status : 6, GMS : 444607400, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:49.599 GPS {TimeUS : 26799276, I : 0, Status : 6, GMS : 444607600, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:49.799 GPS {TimeUS : 26999196, I : 0, Status : 6, GMS : 444607800, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
2026-03-06 03:29:49.999 GPS {TimeUS : 27199116, I : 0, Status : 6, GMS : 444608000, GWk : 2408, NSats : 0, HDop : 1.21, Lat : -35.3632621, Lng : 149.1652374, Alt : 584.09, Spd : 0.0, GCrs : 0.0, VZ : 0.0, Yaw : 0.0, U : 1}
